scenario,seed,algorithm,success,cost,time_ms,expanded,detour_ratio,generation_attempt,timing_repeats,time_min_ms,time_max_ms,width,height,obstacle_count,density
8,6,GBFS,1,53.0,7.806999998138053,54,1.0,0,3,6.160900000395486,8.289699999295408,60,40,8,8
8,6,A*,1,53.0,8.313800000905758,54,1.0,0,3,5.399900001066271,10.01909999831696,60,40,8,8
8,6,RRT*,1,56.0413411696275,228.94649999943795,605,1.0573837956533492,0,3,227.2296000010101,229.24960000091232,60,40,8,8
12,6,Brute Force,1,53.19328747745907,107.0651000009093,12721,1.0036469335369635,0,3,104.09440000148606,115.64189999990049,60,40,12,12
12,6,UCS,1,53.82842712474619,311.16209999891,1896,1.0156307004669092,0,3,307.4211999992258,315.4629000018758,60,40,12,12
12,6,GBFS,1,53.82842712474619,13.444000000163214,54,1.0156307004669092,0,3,10.99880000037956,13.850299998011906,60,40,12,12
12,6,A*,1,53.82842712474619,24.29150000170921,145,1.0156307004669092,0,3,22.762099997635232,25.963800002500648,60,40,12,12
12,6,RRT*,1,60.88452945154047,235.64180000175838,562,1.148764706632839,0,3,225.59589999946184,242.7139999999781,60,40,12,12
16,6,Brute Force,1,53.19328747745907,120.65280000024359,12721,1.0036469335369635,0,3,120.33710000105202,122.40469999960624,60,40,16,16
16,6,UCS,1,53.82842712474619,394.32440000018687,1824,1.0156307004669092,0,3,368.42890000116313,395.1822000017273,60,40,16,16
16,6,GBFS,1,53.82842712474619,12.582300001668045,54,1.0156307004669092,0,3,11.743099999875994,13.7207000007038,60,40,16,16
16,6,A*,1,53.82842712474619,29.468699998687953,145,1.0156307004669092,0,3,27.331299999787007,32.62389999872539,60,40,16,16
16,6,RRT*,1,62.59805949131087,326.1506000017107,553,1.181095462100205,0,3,313.92890000279294,351.6750000017055,60,40,16,16
20,6,Brute Force,1,53.19328747745907,132.94029999815393,12721,1.0036469335369635,0,3,129.8339000022679,147.0392000010179,60,40,20,20
20,6,UCS,1,53.82842712474619,741.3321000021824,1717,1.0156307004669092,0,3,478.3132000011392,804.4640000007348,60,40,20,20
20,6,GBFS,1,53.82842712474619,14.030999998794869,54,1.0156307004669092,0,3,12.422600000718376,16.691400000127032,60,40,20,20
20,6,A*,1,53.82842712474619,35.028300000703894,145,1.0156307004669092,0,3,34.987099999852944,38.0384000018239,60,40,20,20
20,6,RRT*,1,62.59805949131087,364.54519999824697,539,1.181095462100205,0,3,353.62959999838495,367.8992000022845,60,40,20,20
24,6,Brute Force,1,53.19328747745907,215.8629999976256,12721,1.0036469335369635,0,3,204.42560000083176,238.22740000105114,60,40,24,24
24,6,UCS,1,53.82842712474619,542.5429999995686,1656,1.0156307004669092,0,3,465.0148000000627,577.2149000003992,60,40,24,24
24,6,GBFS,1,53.82842712474619,20.93539999987115,54,1.0156307004669092,0,3,20.10339999833377,22.71640000253683,60,40,24,24
24,6,A*,1,53.82842712474619,43.10350000014296,143,1.0156307004669092,0,3,42.685799999162555,49.56229999879724,60,40,24,24
24,6,RRT*,1,62.59805949131087,412.78269999747863,522,1.181095462100205,0,3,370.9460999998555,639.1435999976238,60,40,24,24
4,7,Brute Force,1,54.77852244648677,56.66930000006687,12721,1.0335570272922032,0,3,56.34809999901336,58.871700002782745,60,40,4,4
